Movie,Box,Theaters,PTA,Week,Date,Cumulative,Est_Cumulative,Streaming
Marriage Story,160000,5,32000,1,11/10/19,160000,200000,0
Marriage Story,140000,16,8750,2,11/17/19,300000,360000,0
Marriage Story,340000,85,4000,3,11/24/19,640000,540000,0
Marriage Story,390000,130,3000,4,12/1/19,1030000,1230000,0
Marriage Story,300000,120,2500,5,12/8/19,1330000,1650000,0
Marriage Story,120000,80,1500,6,12/15/19,1450000,1950000,1
The Irishman,350000,8,43750,1,11/3/19,350000,,0
The Irishman,440000,22,20000,2,11/10/19,790000,940000,0
The Irishman,1250000,175,7142.86,3,11/17/19,2040000,2400000,0
The Irishman,1200000,200,6000,4,11/24/19,3240000,4200000,0
The Irishman,1000000,500,2000,5,12/1/19,4240000,5900000,0
The Irishman,450000,320,1406.25,6,12/8/19,4690000,6665000,0
The Irishman,100000,70,1428.57,7,12/15/19,4790000,6900000,1
The Two Popes,32000,4,8000,1,12/1/19,32000,48000,0
The Two Popes,50000,19,2631.58,2,12/8/19,82000,115000,0
The Two Popes,200000,150,1333.33,3,12/15/19,282000,365000,0
The Two Popes,90000,44,2045.45,4,12/22/19,372000,515000,1
Roma,200000,3,66666.67,1,11/25/18,200000,,
Roma,110000,17,6470.59,2,12/2/18,310000,280000,
Roma,500000,100,5000,3,12/9/18,810000,900000,
Roma,362000,145,2496.55,4,12/16/18,1172000,1400000,1
Roma,300000,145,2068.97,5,12/23/18,1472000,1850000,1
Roma,175000,90,1944.44,6,12/30/18,1647000,2250000,1
Roma,135000,61,2213.11,9,1/20/19,1782000,2810000,1
Roma,175000,80,2187.5,10,1/27/19,1957000,3050000,1
Roma,150000,105,1428.57,11,2/3/19,2107000,3265000,1
Roma,75000,65,1153.85,15,3/3/19,2182000,3975000,1